"YEAR","STATE","COUNTYN","YIELD","ACRES_P","ACRES_H","LON","LAT","Jan_tmax","Feb_tmax","Mar_tmax","Apr_tmax","May_tmax","June_tmax","July_tmax","August_tmax","Sept_tmax","Oct_tmax","Nov_tmax","Dec_tmax","Jan_tmin","Feb_tmin","Mar_tmin","Apr_tmin","May_tmin","June_tmin","July_tmin","August_tmin","Sept_tmin","Oct_tmin","Nov_tmin","Dec_tmin","Jan_prcp","Feb_prcp","Mar_prcp","Apr_prcp","May_prcp","June_prcp","July_prcp","August_prcp","Sept_prcp","Oct_prcp","Nov_prcp","Dec_prcp"
2005,"CO","LOGAN",905,3400,3400,-103.1101,40.7247,5.5454037023304,10.6806820026163,13.2803891172897,16.7157211721635,22.5950820948994,28.5266787479362,34.897509326604,31.1059963433365,28.9465906369874,19.6714531534686,14.9022284975075,5.51189482795181,-7.62151821618999,-5.41689137299451,-2.95984015125423,1.17424495014738,6.22698224840351,12.7327544048461,16.1045503893036,13.9696461211899,9.75604950110368,2.443685362639,-2.13859389348438,-8.85471539139477,5.8959137121139,4.35806450084658,22.9571975623908,53.6405116681716,61.5603054752097,80.9423345291681,54.1156947057872,38.8548503066498,7.79675687192387,63.3823205925778,8.11066144321415,4.15319558966766
2003,"CO","LOGAN",865,3000,3000,-103.1101,40.7247,9.59750055696099,5.40178057206479,13.0515159996468,18.9475158908557,22.3049347929473,26.5336796500611,35.6738761359862,33.4756856363448,25.8923255327754,23.4944273683454,9.10617861086009,7.83164599554683,-7.23373301447152,-9.33431613866048,-2.24081614413189,2.93341620463572,7.50889709819255,11.1965906369874,16.9329671522004,14.936382919991,7.63333736267251,3.02955461614294,-5.42769933687581,-7.97676312506712,3.92317453987521,11.9170917030877,35.9128653339227,68.0921413016918,54.6855026485798,61.7666572082734,40.86179743385,57.2963071689674,17.890485783189,7.09097390848792,5.59939754468542,7.39386517920829
2002,"CO","LOGAN",345,3000,900,-103.1101,40.7247,7.14705382339122,9.84659615215935,9.05844831050943,19.7831445984592,23.2140653238263,33.0703125,35.3418521038952,31.5713669090195,26.097500556961,15.3968118145357,9.79669321185313,8.79490002378377,-9.47202406873176,-8.14905560979386,-7.6901587492988,1.20523648340821,5.13803004795979,14.1320962207363,17.1526158670719,14.3525292498004,9.52325995463572,-0.501484064602925,-3.38712539086565,-6.56274165735691,0.649995309677603,2.56039659340244,8.7427612122217,5.67262823955884,17.440889468355,34.9998369797383,11.9147440931107,71.5496808105309,10.5768395794408,49.6165421278785,7.66314229580249,0.233171870355122
2001,"CO","LOGAN",900,1000,1000,-103.1101,40.7247,6.82480887845261,4.5491503535454,11.1234094207269,18.2845921183214,22.8601319789808,30.2585253337684,34.5870221496851,33.1477163293838,28.0691498504194,19.8173833617565,13.9930669595549,6.64178394662292,-7.85932628726786,-8.56656759678723,-2.46518570447786,2.10708312929295,7.28648292946741,12.1478524145324,17.6933914816957,14.6662056299815,10.0132361697122,1.89280363335914,-3.81062928243897,-7.63943138087994,11.4324277137884,13.2338090847272,16.0665643056821,37.7480852579462,73.93157942129,28.3116287455036,67.9610235112271,23.2883431906941,39.2119364537858,18.7461791792544,17.830879937114,0
2000,"CO","LOGAN",1000,2500,1800,-103.1101,40.7247,6.8370762274657,11.6535670415452,12.7230412419899,20.6138589816914,25.2540159983467,29.9450761912927,34.8641045608756,33.9989250646806,27.3888036459241,19.5162712512147,5.25430982186517,3.79598995858703,-7.09139697074638,-4.59221025112541,-1.65251283380712,0.210769592974921,8.05397763913991,11.2430011679518,16.9417506458924,15.6945153488944,8.78757922437488,2.99166871924936,-7.88112299901598,-10.3240284525351,9.57987551855696,12.9659896580708,57.4694434408205,45.8015148258644,21.908366595916,10.8491422109564,51.0113854821459,31.1303536904901,34.1461845374584,37.7752736875765,15.9257026361295,4.04592734567426
1999,"CO","LOGAN",1110,4500,4500,-103.1101,40.7247,8.03629698669426,13.0253267667736,15.1063428477905,15.3785301069674,21.7732709388757,28.3552046431507,33.7081937462046,30.7567525232815,23.8435001769242,20.9364930516011,17.139242747027,9.06878304177123,-6.45267854835148,-5.00146258223721,-3.413502765589,0.357798987780597,6.64152668888885,11.6781469580883,16.8885757075719,15.080078125,7.68621205031295,0.781312353151911,-2.17080333860596,-6.08360012404274,0.957779011235548,2.34438511574609,7.81854757670592,56.416657168639,59.4841638445776,95.3707135896243,83.0636596719101,105.866378559664,57.7508244708497,2.06859661859688,3.25345183738221,8.57530113825348
1998,"CO","LOGAN",910,5600,5500,-103.1101,40.7247,7.55593373815731,8.72726882594682,10.6946824409354,17.3251397599766,25.1788357139585,26.7709132607286,32.20040496456,31.5285453114512,29.9095978393963,17.1551907762976,12.3246487664667,5.82236135642865,-7.65969441195673,-3.15945293704577,-4.31748807904373,0.165526079181523,8.09682854185678,10.0450082632359,17.1072121041804,14.333424640589,11.7420253361433,3.28034327899902,-1.51422579854525,-9.21886901993252,1.12637116281706,21.9796273532395,1.55371602954339,17.4354261920899,67.5982133040986,71.7791269992983,113.224678295896,26.8617971771086,15.6818345011096,43.4220528861751,16.8383088516705,7.35590677430193
1997,"CO","LOGAN",1000,2000,2000,-103.1101,40.7247,3.85784978612912,6.57612835105683,15.3912009359942,13.8832102775979,22.7175636666804,28.672108335799,32.7543340612199,29.8909484268127,27.1546136261265,18.9443485263822,9.37947452723638,4.32219891498744,-10.4455153122687,-6.34123406185604,-3.67423214429475,-1.53328416004565,6.29590225603929,13.1624024077711,15.8371930193632,14.6979006122489,10.6856465738448,1.99452912075164,-4.40488689873704,-6.69094881710348,6.52497731961956,6.27876839288906,6.68480269802684,19.824697646832,86.5435999923677,98.436095434759,106.621462619262,57.1511562349719,24.2531543216958,54.0590337427616,3.13271551583745,9.17034169128816
1996,"CO","LOGAN",830,1800,1800,-103.1101,40.7247,5.30348110332583,10.2939179762222,10.2769830031357,19.2242331953231,20.8572478610524,29.1429043198525,31.2054469680083,30.4233764251725,23.7783951861111,19.0742180282732,9.1146878289667,7.63788232171241,-11.7887081726483,-7.87897842410498,-6.31476191739646,0.531663819511323,7.64181415396099,12.995491040808,15.144168380932,14.0369205198796,9.14768593756024,1.77478754571764,-5.61949361016019,-8.75126112563746,15.1746979039287,0.340610635826287,22.0269914152257,17.2525026220783,95.7129843200075,66.3542267608124,54.9971102859784,119.571061726719,100.357775592639,9.10554718149026,1.83710460615242,0.640229587960481
1995,"CO","LOGAN",870,3500,3500,-103.1101,40.7247,4.64993796149271,10.7387056796827,12.6196644700402,14.145222060369,16.6369641769172,26.5794194205047,32.7475435064082,34.6973349298032,25.8360790836237,18.6504074577738,13.4003905038778,8.71824069208428,-9.12574769302126,-5.05272445758481,-3.82070818244698,-0.955409803818727,5.33844091261166,11.1883655538991,14.5438869908278,15.5923035881251,9.33041413255211,0.606700320287698,-3.62252834814903,-8.10978632394312,9.99390297836916,6.10690127542416,10.9770944848248,41.4947043342637,95.4141534148192,131.404980996569,56.926167906428,18.8849839247353,64.6178594899114,28.7740785429795,15.5771907379199,1.61163420725299
