".type","ALE","Variable_values","Feature","Dataset","Model Type"
"ale",127.615659060346,20.6332893371582,"Jul_Tmax","Train","National"
"ale",127.615659060346,24.2289447784424,"Jul_Tmax","Train","National"
"ale",127.615659060346,25.7034378051758,"Jul_Tmax","Train","National"
"ale",129.370269447636,26.3167819976807,"Jul_Tmax","Train","National"
"ale",129.370269447636,26.7537841796875,"Jul_Tmax","Train","National"
"ale",129.370269447636,27.1085815429688,"Jul_Tmax","Train","National"
"ale",105.541805404786,27.471155166626,"Jul_Tmax","Train","National"
"ale",87.2326534064061,27.8318939208984,"Jul_Tmax","Train","National"
"ale",87.2326534064061,28.194787979126,"Jul_Tmax","Train","National"
"ale",29.7677951419482,28.538064956665,"Jul_Tmax","Train","National"
"ale",10.6488496047789,28.9342517852783,"Jul_Tmax","Train","National"
"ale",-0.803508361946527,29.3520622253418,"Jul_Tmax","Train","National"
"ale",-42.6465184967598,29.7618083953857,"Jul_Tmax","Train","National"
"ale",-42.6465184967598,30.1194972991943,"Jul_Tmax","Train","National"
"ale",-81.8850170914625,30.5756092071533,"Jul_Tmax","Train","National"
"ale",-81.8850170914625,31.0114631652832,"Jul_Tmax","Train","National"
"ale",-85.58956413617,31.5200252532959,"Jul_Tmax","Train","National"
"ale",-157.40285014989,32.1474609375,"Jul_Tmax","Train","National"
"ale",-210.39756632897,32.8970260620117,"Jul_Tmax","Train","National"
"ale",-235.152424950707,33.9616508483887,"Jul_Tmax","Train","National"
"ale",-180.035558353338,37.8537750244141,"Jul_Tmax","Train","National"
"ale",-151.308998952542,2.14581775665283,"Sep_Tmin","Train","National"
"ale",-102.45027728923,4.51988744735718,"Sep_Tmin","Train","National"
"ale",-85.6694690497816,5.17490530014038,"Sep_Tmin","Train","National"
"ale",-57.4567336178313,5.57957220077515,"Sep_Tmin","Train","National"
"ale",-24.0649798396063,5.94697761535645,"Sep_Tmin","Train","National"
"ale",-22.4261308503185,6.2497148513794,"Sep_Tmin","Train","National"
"ale",5.45986887576757,6.52165079116821,"Sep_Tmin","Train","National"
"ale",11.963474788139,6.76181364059448,"Sep_Tmin","Train","National"
"ale",11.963474788139,7.04674911499023,"Sep_Tmin","Train","National"
"ale",17.7600955990431,7.31343936920166,"Sep_Tmin","Train","National"
"ale",17.609713211917,7.5480432510376,"Sep_Tmin","Train","National"
"ale",17.609713211917,7.82715463638306,"Sep_Tmin","Train","National"
"ale",19.3679909189006,8.08176326751709,"Sep_Tmin","Train","National"
"ale",19.3679909189006,8.37081909179688,"Sep_Tmin","Train","National"
"ale",29.3487402817531,8.73185920715332,"Sep_Tmin","Train","National"
"ale",29.3487402817531,9.09723854064941,"Sep_Tmin","Train","National"
"ale",30.5426389246885,9.51058483123779,"Sep_Tmin","Train","National"
"ale",53.7644217020561,10.0018739700317,"Sep_Tmin","Train","National"
"ale",53.7644217020561,10.7281742095947,"Sep_Tmin","Train","National"
"ale",53.8405578491597,12.5268135070801,"Sep_Tmin","Train","National"
"ale",-7.40627131830576,22.1441192626953,"Sep_Tmin","Train","National"
"ale",-43.5042689118435,0.4196717441082,"Jul_Precip","Train","National"
"ale",-95.476450836803,18.4917011260986,"Jul_Precip","Train","National"
"ale",-95.476450836803,27.3014068603516,"Jul_Precip","Train","National"
"ale",-83.9370130078086,33.7986526489258,"Jul_Precip","Train","National"
"ale",-8.26143347155672,39.0227317810059,"Jul_Precip","Train","National"
"ale",-2.69042037783069,44.8739776611328,"Jul_Precip","Train","National"
"ale",-0.927244599558009,50.0187377929688,"Jul_Precip","Train","National"
"ale",-1.25657243873484,54.9144439697266,"Jul_Precip","Train","National"
"ale",4.10927489298677,59.1888046264648,"Jul_Precip","Train","National"
"ale",4.10927489298677,64.0208969116211,"Jul_Precip","Train","National"
"ale",35.8653207434948,69.310791015625,"Jul_Precip","Train","National"
"ale",35.8653207434948,74.8065567016602,"Jul_Precip","Train","National"
"ale",38.1580598673277,80.0263366699219,"Jul_Precip","Train","National"
"ale",38.1580598673277,85.8950729370117,"Jul_Precip","Train","National"
"ale",38.1580598673277,92.1797256469727,"Jul_Precip","Train","National"
"ale",36.5974336091797,99.5431137084961,"Jul_Precip","Train","National"
"ale",36.5974336091797,110.10107421875,"Jul_Precip","Train","National"
"ale",36.5974336091797,121.578392028809,"Jul_Precip","Train","National"
"ale",24.4231052936309,137.75813293457,"Jul_Precip","Train","National"
