"","County","Year","State","Acres_Planted","Acres_Harvested"
"1","ADAMS",2022,"ND",39300,38800
"2","ARAPAHOE",2009,"CO",500,500
"3","AURORA",2009,"SD",2400,2100
"4","BACA",2016,"CO",8100,7600
"5","BAILEY",2009,"TX",4200,3920
"6","BANNER",2007,"NE",3700,3700
"7","BARNES",2022,"ND",3100,3060
"8","BEADLE",2007,"SD",2100,2000
"9","BECKER",2005,"MN",2000,1900
"10","BENNETT",2018,"SD",19300,19100
"11","BENSON",2020,"ND",8000,7900
"12","BILLINGS",2020,"ND",3700,3700
"13","BOTTINEAU",2022,"ND",2200,2170
"14","BOWMAN",2021,"ND",16400,16100
"15","BOX BUTTE",2011,"NE",3400,3300
"16","BROWN",2008,"SD",700,700
"17","BRULE",2012,"SD",5000,4450
"18","BUFFALO",2018,"SD",4400,3800
"19","BURKE",2020,"ND",5500,5500
"20","BURLEIGH",2022,"ND",22100,21700
"21","CAMPBELL",2018,"SD",7800,7650
"22","CASS",2022,"ND",34300,33500
"23","CASTRO",2009,"TX",1600,1510
"24","CAVALIER",2022,"ND",9200,9090
"25","CHARLES MIX",2008,"SD",4500,4300
"26","CHASE",2005,"NE",2000,1900
"27","CHEYENNE",2009,"CO",9000,8800
"28","CLARK",2006,"SD",2000,1800
"29","CLAY",2007,"MN",2100,2100
"30","CLOUD",2012,"KS",800,800
"31","COCHRAN",2007,"TX",1400,600
"32","CODINGTON",2006,"SD",800,700
"33","CORSON",2012,"SD",47000,45900
"34","CUSTER",2005,"NE",1900,1800
"35","DALLAM",2017,"TX",2600,2530
"36","DAWES",2012,"NE",800,600
"37","DAWSON",2009,"TX",2400,2400
"38","DEAF SMITH",2013,"TX",2700,1800
"39","DEUEL",2010,"NE",1500,1500
"40","DEWEY",2017,"SD",20600,20300
"41","DICKEY",2007,"ND",1400,1300
"42","DIVIDE",2021,"ND",8400,8300
"43","DUNDY",2007,"NE",1400,1400
"44","DUNN",2021,"ND",14700,14500
"45","EDDY",2015,"ND",900,880
"46","EDMUNDS",2009,"SD",1600,1600
