"County","State","Mean_Error","FIPS"
"ADAMS","CO",202.813266666667,"08001"
"ADAMS","ND",449.034879244291,"38001"
"ARAPAHOE","CO",481.124333333334,"08005"
"AURORA","SD",583.562121582031,"46003"
"BACA","CO",149.757166666666,"08009"
"BAILEY","TX",687.429633624961,"48017"
"BANNER","NE",300.103515625,"31007"
"BARNES","ND",463.785802205404,"38003"
"BEADLE","SD",608.14101155599,"46005"
"BECKER","MN",599.0156,"27005"
"BENNETT","SD",613.782257080078,"46007"
"BENSON","ND",311.820582798549,"38005"
"BILLINGS","ND",473.351501464844,"38007"
"BOTTINEAU","ND",352.368441495028,"38009"
"BOWMAN","ND",351.747780539773,"38011"
"BOX BUTTE","NE",474.112442016602,"31013"
"BROWN","SD",518.724894205729,"46013"
"BRULE","SD",528.1748046875,"46015"
"BUFFALO","SD",458.799916585286,"46017"
"BURKE","ND",341.019147600446,"38013"
"BURLEIGH","ND",379.667127336775,"38015"
"CAMPBELL","SD",531.983581542969,"46021"
"CASS","ND",736.97221491887,"38017"
"CASTRO","TX",846.130730825174,"48069"
"CAVALIER","ND",525.26020695613,"38019"
"CHARLES MIX","SD",795.184753417969,"46023"
"CHASE","NE",223.6171875,"31029"
"CHEYENNE","CO",154.030916666667,"08017"
"CHEYENNE","NE",242.0458984375,"31033"
"CLARK","SD",229.175567626953,"46025"
"CLAY","MN",403.077188888888,"27027"
"CLOUD","KS",416.646744444444,"20029"
"COCHRAN","TX",1332.24885690283,"48079"
"CODINGTON","SD",663.384552001953,"46029"
"CORSON","SD",453.197891235352,"46031"
"CUSTER","NE",735.33544921875,"31041"
"DALLAM","TX",391.574255373534,"48111"
"DAWES","NE",173.272094726562,"31045"
"DAWSON","TX",13.4266589444617,"48115"
"DEAF SMITH","TX",264.339903769123,"48117"
"DEUEL","NE",350.428735351563,"31049"
"DEWEY","SD",420.347178141276,"46041"
"DICKEY","ND",198.894653320312,"38021"
"DIVIDE","ND",465.584136962891,"38023"
"DUNDY","NE",277.390258789062,"31057"
"DUNN","ND",536.582728068034,"38025"
"EDDY","ND",251.768476213728,"38027"
"EDMUNDS","SD",593.686193847656,"46045"
"ELBERT","CO",274.226375,"08039"
"EMMONS","ND",507.904062124399,"38029"
"FALL RIVER","SD",183.9111328125,"46047"
"FAULK","SD",672.613409423828,"46049"
"FINNEY","KS",519.251166666666,"20055"
"FLOYD","TX",157.314031174901,"48153"
"FOSTER","ND",515.7568359375,"38031"
"FRANKLIN","NE",2.947021484375,"31061"
"FRONTIER","NE",186.446573893229,"31063"
"GARDEN","NE",202.22509765625,"31069"
"GOLDEN VALLEY","ND",598.805328369141,"38033"
"GRAND FORKS","ND",356.92898050944,"38035"
