County,Year,State,Jan_Spei_gamma,Feb_Spei_gamma,Mar_Spei_gamma,Apr_Spei_gamma,May_Spei_gamma,Jun_Spei_gamma,Jul_Spei_gamma,Aug_Spei_gamma,Sep_Spei_gamma,Oct_Spei_gamma,Nov_Spei_gamma,Dec_Spei_gamma,Jan_Spei_pearson,Feb_Spei_pearson,Mar_Spei_pearson,Apr_Spei_pearson,May_Spei_pearson,Jun_Spei_pearson,Jul_Spei_pearson,Aug_Spei_pearson,Sep_Spei_pearson,Oct_Spei_pearson,Nov_Spei_pearson,Dec_Spei_pearson,Jan_Spi_gamma,Feb_Spi_gamma,Mar_Spi_gamma,Apr_Spi_gamma,May_Spi_gamma,Jun_Spi_gamma,Jul_Spi_gamma,Aug_Spi_gamma,Sep_Spi_gamma,Oct_Spi_gamma,Nov_Spi_gamma,Dec_Spi_gamma,Jan_Spi_pearson,Feb_Spi_pearson,Mar_Spi_pearson,Apr_Spi_pearson,May_Spi_pearson,Jun_Spi_pearson,Jul_Spi_pearson,Aug_Spi_pearson,Sep_Spi_pearson,Oct_Spi_pearson,Nov_Spi_pearson,Dec_Spi_pearson
ADAMS,2022,ND,-1.331766129,-0.918045878,-1.060476661,1.475194573,-0.058402002,0.07304924,-0.130179182,-1.558644772,-0.878038406,-0.99635452,-0.347280174,1.989248514,-1.30196023,-0.483566165,-1.071795464,1.393882751,0.047662627,0.126376271,-0.017978994,-1.526361108,-0.848838747,-1.395654559,0.00855862,1.661658525,-1.499088764,-0.596128285,-2.332308292,0.921514213,0.000575909,0.198530436,0.211653367,-1.348727822,-0.16512768,-1.15842998,-0.053571668,1.573067069,-1.366157889,-0.539212644,-3.089999914,0.936209083,-0.043775633,0.151133686,0.19023627,-1.346108556,-0.118544012,-1.435968637,-0.04092215,1.659090281
ARAPAHOE,2009,CO,-0.637938738,-1.493911982,-0.337053329,1.516226172,-0.10199824,1.546974182,0.522823989,0.01546026,0.222339734,1.696317196,-0.371360898,0.532269299,-0.194943398,-1.722932935,-0.225745261,1.398301959,0.062834352,1.442923307,0.536841154,0.198940113,0.425797075,1.546660304,-0.122358546,0.705427945,-0.05292866,-1.429448128,0.13544558,1.523637414,0.253776968,1.435106874,0.456680417,0.055242073,0.530104399,1.150215149,0.403662115,0.769686699,-0.165578261,-1.541320086,0.212777317,1.419107556,0.249590382,1.437656999,0.342523426,0.035257742,0.461076021,1.188625455,0.4599334,0.736733139
AURORA,2009,SD,0.217111439,-0.498183042,0.620239556,-0.246340781,-0.987330794,0.125899047,1.107893229,0.689672112,-0.655167162,3.054904699,-1.651297808,1.916620135,0.479363501,-0.109395958,0.716270864,-0.135512158,-1.00822556,0.229603872,1.075747609,0.753371358,-0.562922478,2.252869606,-2.762190342,1.43625617,0.500854075,-0.077447839,0.679621696,-0.282241493,-1.177685857,0.160124391,0.918217897,0.60547024,-0.425400317,1.97071135,-1.458382368,1.61199224,0.497914076,-0.125924081,0.681489825,-0.339502394,-1.172436357,0.135528252,0.888464749,0.610009313,-0.450874835,2.067634583,-1.276421309,1.585975409
BACA,2016,CO,-0.791968644,-1.122478008,-1.232897997,1.542577147,-0.487312078,0.105309561,-0.538747013,0.269573867,-0.477377474,-1.344553471,-1.030894041,-0.577510238,-0.47207734,-1.212312102,-1.49447453,1.405527353,-0.414089292,0.295523256,-0.491709024,0.344116837,-0.305855215,-3.089999914,-1.166862249,-0.246533662,-0.377524436,-0.390104979,-2.096243858,1.560948849,-0.765782356,0.529994547,-0.223111868,0.184667587,-0.13561593,-1.26899004,-0.448313564,-0.454985946,-0.406533688,-0.395287812,-1.706201196,1.503345966,-0.844673336,0.560498416,-0.268532753,0.181570679,-0.255199134,-1.206059694,-0.464912355,-0.481015056
BAILEY,2009,TX,-1.24691999,-0.938920617,-0.909671187,-0.197979555,-0.478569537,-0.063284189,1.927520514,-0.605360329,-0.757054746,0.505027711,-0.95654726,1.23754406,-1.438184261,-0.902525485,-0.952341437,0.05375747,-0.36358279,0.060321253,1.687673211,-0.512308121,-0.691361606,0.674197793,-0.963284194,1.249697566,-1.499053836,0.145150781,-0.280191898,0.165676191,-0.268939853,0.32480672,1.866646051,-0.428893149,-0.853414714,0.636726081,-0.42620182,1.109008312,-1.155466199,0.059882373,-0.235397607,0.133645102,-0.227189019,0.239186615,1.827993631,-0.456391633,-0.99020654,0.656337082,-0.541975677,1.124660969
BANNER,2007,NE,-0.846310794,-0.722429276,-0.459913701,-0.127685651,-0.677380741,-1.565212727,-0.755653441,-0.484652519,-0.762831092,0.213545933,-1.205786705,1.975278497,-0.398918033,-0.433359593,-0.364502817,0.067337781,-0.631403029,-1.783755183,-0.635034859,-0.34112829,-0.642284572,0.380308509,-1.280421138,1.668948531,-0.24106741,-0.472443491,0.662988603,-0.043827143,-0.315771997,-2.010582924,-0.088411592,0.2935009,-0.329571396,0.84033072,-1.055701017,1.593685627,-0.440941453,-0.574529409,0.679332554,0.026313927,-0.372260094,-2.118782282,-0.05735958,0.306521326,-0.360570848,0.781982243,-1.015485644,1.656499386
BARNES,2022,ND,0.268217832,-0.604658246,-1.262848973,3.089999914,1.68597126,-0.519644976,-0.924424112,-0.584275305,-1.117022991,-1.27978766,0.151061684,3.089999914,0.51246357,-0.07038863,-1.521097183,2.507995605,1.622070313,-0.42079699,-0.969534993,-0.550655723,-1.166622519,-1.558680415,0.419522196,2.447891235,0.477081507,-0.132625252,-2.16977191,2.289441586,1.501892447,-0.110900573,-0.83325547,-0.336826295,-0.802788198,-1.446714044,0.378089756,2.945183277,0.472549945,-0.087417148,-1.885180593,2.277885675,1.760356903,-0.147159159,-0.719951749,-0.309691548,-0.822471321,-1.348643541,0.405856192,2.894750118
BEADLE,2007,SD,-0.787212074,1.72144258,0.660999835,0.292068094,2.210405827,0.633087635,-1.691144586,2.7593081,-0.550770104,1.272864103,-0.995933831,0.372702062,-0.588262856,1.501412749,0.762836695,0.435644716,1.846630335,0.719865501,-1.843273282,2.191480637,-0.458613008,1.203974724,-1.114135385,0.504295766,-0.67832756,1.473717809,1.133406401,0.356394082,2.132746696,0.983434856,-2.846148729,2.345780849,-0.188665166,1.54255712,-1.720870733,0.664377928,-0.546945155,1.48504281,1.165569663,0.338928163,2.131696939,0.954108119,-2.240370035,2.337989092,-0.245405138,1.432026863,-1.461110473,0.578686476
BECKER,2005,MN,1.408184528,-0.408290565,-1.468035817,-1.236351967,0.69337213,0.771369755,-0.643666148,0.386589408,-0.487309098,-0.004175391,2.345984697,0.285180509,1.311953068,0.071479358,-1.670078754,-1.273613811,0.744869053,0.803870857,-0.546259284,0.487355888,-0.378713489,0.120278195,1.920270681,0.323626518,1.281255007,0.080303773,-2.124010324,-0.382208198,0.67072624,1.029997349,-0.415901989,0.435797989,0.007648188,0.492091089,1.809097528,0.491106957,1.270285964,0.109784648,-1.778864026,-0.543576956,0.629074216,1.026346684,-0.359166652,0.47594741,-0.031967156,0.410139173,1.875645161,0.412824452
BENNETT,2018,SD,0.613408864,1.391053438,1.078750134,0.585663259,-0.268282562,1.58993578,0.432039291,0.36036244,0.257315874,0.586702228,0.955869734,2.445245981,0.732487798,1.313835025,1.115342975,0.670063138,-0.156446993,1.49083519,0.443799734,0.393298328,0.438046157,0.720834851,1.012618423,1.627135873,0.770795703,1.305415154,1.126116991,0.294267207,0.349474579,1.78762126,0.570148885,0.451298952,0.547700465,0.542685926,1.020158768,1.763972282,0.764355242,1.317227483,1.142556429,0.245057121,0.29577446,1.883885264,0.535212755,0.346114546,0.580715597,0.478290021,1.004392266,1.853795052
