"OBJECTID","Join_Count","TARGET_FID","StudyCoordinates","X","Y","Jan_Precip","Feb_Precip","Mar_Precip","Apr_Precip","May_Precip","Jun_Precip","Jul_Precip","Aug_Precip","Sep_Precip","Oct_Precip","Nov_Precip","Dec_Precip","STATE","LON","LAT","COUNTY","Jan_Tmax","Feb_Tmax","Mar_Tmax","Apr_Tmax","May_Tmax","Jun_Tmax","Jul_Tmax","Aug_Tmax","Sep_Tmax","Oct_Tmax","Nov_Tmax","Dec_Tmax","Jan_Tmin","Feb_Tmin","Mar_Tmin","Apr_Tmin","May_Tmin","Jun_Tmin","Jul_Tmin","Aug_Tmin","Sep_Tmin","Oct_Tmin","Nov_Tmin","Dec_Tmin","RCP","Year"
1,1,1,1,-276371.6018,2400400.4354,10.7113904953003,14,36.505054473877,69.8548431396484,81.5050506591797,78.3497924804688,68.1552658081055,52.3497924804688,40.505054473877,40.3497924804688,19.3497924804688,11,"SD",-99.4871,44.5474,"HYDE",-2.48666262626648,1.71333742141724,7.81685876846313,17.3035202026367,24.7802696228027,30.0767498016357,34.1380767822266,33.9546661376953,28.4259815216064,20.3767490386963,8.27467060089111,0.143302023410797,-13.4566974639893,-10.1999998092651,-4.89759254455566,2.30352139472961,9.30240726470947,14.6999998092651,17.8012790679932,17.2809410095215,11.7133369445801,4.39759254455566,-4.4634861946106,-10.8988466262817,"126","2060"
2,1,2,2,-141581.2908,2261399.4047,12,16,45.615592956543,72.604362487793,93,89.8560104370117,74,55.2199554443359,64.395637512207,42,31.3639469146729,14.3956394195557,"SD",-97.7546,43.3348,"HUTCHINSON",-0.78771847486496,3.44537043571472,9.91104507446289,18.539363861084,25.7424545288086,31.1873645782471,33.8768119812012,33.009708404541,28.1842746734619,20.9723358154297,9.33149719238281,1.51717877388001,-11.5873212814331,-8.36693954467773,-2.57060861587524,4.50465726852417,11.7372579574585,16.8542671203613,19.6640625,19.0640621185303,13.1955003738403,5.98448085784912,-2.57060861587524,-9.08744239807129,"126","2060"
3,1,3,3,-317432.295600001,2384356.8509,9,14,36.2196502685547,58.0163421630859,74.5866241455078,80.7735900878906,60.2196502685547,45.4133720397949,35.7933120727539,32.0129661560059,15.7966918945312,12,"SD",-99.9961,44.389,"HUGHES",-1.31676745414734,2.8995087146759,9.00428199768066,18.0274982452393,25.3181419372559,30.7350063323975,35.1296768188477,34.9148864746094,29.1295738220215,21.0416069030762,9.01864719390869,1.25273287296295,-12.0876092910767,-9.09304428100586,-3.85910248756409,3.19721674919128,10.2235116958618,15.5426931381226,18.8109436035156,18.2974128723144,12.3579711914062,5.25807571411133,-3.732093334198,-9.7322883605957,"126","2060"
4,1,4,4,-584552.942199999,2533325.8555,8,9,20,46,78.8449783325195,81.1550216674805,45,31,30.2738533020019,23.3864212036133,11,10,"SD",-103.4959,45.5804,"HARDING",-0.439595907926559,3.62318396568298,8.82894420623779,16.8830413818359,23.8970775604248,29.3678379058838,34.026309967041,34.4008903503418,27.8615055084229,20.0042839050293,8.72514915466309,1.64404284954071,-11.9050998687744,-8.7844295501709,-4.79308032989502,1.90388381481171,8.55798149108887,13.6583814620972,16.5905590057373,15.9929094314575,9.87954139709473,2.9905436038971,-5.44112873077393,-10.8077020645142,"126","2060"
5,1,5,5,-143513.945699999,2299392.0878,12,16,43.0621337890625,76.0600357055664,89.1264343261719,88.9957275390625,68.93359375,57.9293251037598,60.9335975646973,43.0600318908691,32,12,"SD",-97.7874,43.6748,"HANSON",-1.67112922668457,2.4325258731842,9.2707052230835,18.2337112426758,25.5112743377686,30.734977722168,33.4969635009766,32.7572250366211,27.836706161499,20.4687728881836,8.79553127288818,0.570705473423004,-12.0292940139771,-8.83151435852051,-2.86904716491699,4.33095264434815,11.6085147857666,16.8085155487061,19.5952377319336,18.9365386962891,13.2061271667481,5.7579984664917,-2.94200158119202,-9.64200115203857,"126","2060"
6,1,6,6,-238174.816199999,2399139.8219,10,14,39.7502517700195,64.1448211669922,85.2754211425781,80,64,52,45,38.9601135253906,19,11,"SD",-99.005,44.5478,"HAND",-2.4689404964447,1.70842897891998,7.96200132369995,17.5266036987305,24.954345703125,30.1437168121338,33.8106002807617,33.6105995178223,28.3877754211426,20.5723266601562,8.39044857025146,0.230890974402428,-13.23703956604,-9.98706340789795,-4.61116647720337,2.67139005661011,9.67138957977295,15.1109895706177,18.0492935180664,17.4492931365967,11.8449554443359,4.7129602432251,-4.0912652015686,-10.6471586227417,"126","2060"
7,1,7,7,-94021.5771999992,2409983.9965,14,16.0141906738281,38.309871673584,63.3414764404297,81.3240585327148,99.9542083740234,74,62,57.9542083740234,47.6443367004395,25.9542064666748,13,"SD",-97.1883,44.6737,"HAMLIN",-3.96874260902405,0.130049347877502,6.83403587341309,16.6014423370361,24.7654705047607,29.3656139373779,31.9001026153564,31.3318214416504,26.2003726959229,18.7691383361816,6.93556880950928,-1.26872062683105,-14.3308544158935,-11.0313549041748,-4.86884260177612,2.76850128173828,10.034122467041,15.3325662612915,17.967191696167,17.2686462402344,11.4657526016235,4.16371202468872,-4.53713989257812,-11.465859413147,"126","2060"
8,1,8,8,-440567.704299999,2379984.8789,8,13,35.2100868225098,52.7797775268555,84.010139465332,75.2122344970703,52.7797775268555,41,32.007984161377,29.2122364044189,14,11,"SD",-101.54,44.2944,"HAAKON",0.535595595836639,4.50558710098267,9.41335296630859,17.626184463501,24.3743839263916,29.9926929473877,34.5579223632812,34.5741767883301,28.8452911376953,21.1133537292481,9.80208110809326,2.18663191795349,-11.0497579574585,-8.50760650634766,-4.13126420974731,2.50580739974976,9.45838451385498,14.8583850860596,17.9527988433838,17.6893463134766,11.7056007385254,4.48695087432861,-4.03853368759155,-9.75032711029053,"126","2060"
9,1,9,9,-257550.739399999,2248508.5355,12.4593114852905,18.2660865783691,52,79.3968200683594,100.347465515137,93.2660903930664,75.6031799316406,55.2660865783691,67.2660903930664,39,24.9783458709717,16.0624942779541,"SD",-99.1856,43.1924,"GREGORY",1.10369777679443,5.04588174819946,10.6042785644531,18.2537536621094,25.2619247436523,30.4821376800537,34.1192779541016,33.8963813781738,28.8722972869873,21.5271396636963,10.3381910324097,3.27314496040344,-10.5060949325562,-7.84810972213745,-3.09128212928772,3.72458052635193,10.5965070724487,15.8388938903809,19.0217018127441,18.5368614196777,12.9617214202881,5.77277278900146,-2.73827791213989,-8.52241611480713,"126","2060"
10,1,10,10,-60295.2175000012,2465099.2966,14,13.019926071167,39,65.4641571044922,74.1088790893555,89.4641571044922,78.4840774536133,62.5557708740234,52,46.9482345581055,27.3752040863037,11,"SD",-96.7677,45.172,"GRANT",-3.86908054351807,-0.0134579027071595,6.8416109085083,16.7618083953857,24.9629364013672,29.4869556427002,32.4922790527344,32.0539398193359,26.6596202850342,19.109073638916,7.1546573638916,-1.16898965835571,-13.9536437988281,-10.540657043457,-4.54726552963257,3.00407838821411,9.99299335479736,15.1170129776001,17.9463558197021,17.22190284729,11.797327041626,4.69769906997681,-4.04184484481812,-10.8886966705322,"126","2060"
11,1,11,11,-247363.2092,2457724.8985,12.5496444702148,13.938796043396,38.4272384643555,57.8703804016113,81.3588180541992,77.8322906494141,60.1296195983887,55.6792640686035,43.4884414672852,38.4884414672852,20.5496444702148,11,"SD",-99.1453,45.0711,"FAULK",-3.47234535217285,0.699685394763947,7.18800020217896,17.1781730651856,24.7992877960205,29.6791000366211,33.4373512268066,33.2986030578613,27.6794319152832,19.7937068939209,7.41445159912109,-0.863215982913971,-13.8187236785889,-10.5351848602295,-4.99689674377441,2.42058897018433,9.3853759765625,14.5260725021362,17.379430770874,16.7249660491943,11.0557403564453,3.81310510635376,-4.98793649673462,-11.3222312927246,"126","2060"
12,1,12,12,-251573.9212,2496556.0832,10,11,31.8757514953613,59.7431297302246,72.8715667724609,86,59.9958114624023,50,39.0326118469238,30.0284233093262,16,9,"SD",-99.2155,45.4188,"EDMUNDS",-4.00521039962769,0.188639000058174,6.68328332901001,16.6709613800049,24.4941883087158,29.2189407348633,32.9775886535645,32.9221725463867,26.9221744537354,19.2277221679688,6.75343704223633,-1.61121571063995,-14.3553438186646,-11.124608039856,-5.41136121749878,2.16948366165161,9.30014514923096,14.300145149231,17.174840927124,16.5001449584961,10.6066274642944,3.41246724128723,-5.29925298690796,-11.9246082305908,"126","2060"
13,1,13,13,-190778.190099999,2268306.6077,13.3508653640747,19,47.2667198181152,70.5515365600586,88.6098022460938,95.8575897216797,71.4091262817383,51.4091262817383,63.857593536377,38,24.8182563781738,17.3508644104004,"SD",-98.3662,43.3871,"DOUGLAS",-0.108079090714455,4.07506465911865,10.2983303070068,18.653356552124,25.8789157867432,31.242805480957,34.2075271606445,33.5776786804199,28.4685287475586,21.1272449493408,9.65814590454102,1.98382318019867,-11.0205850601196,-7.99585914611816,-2.59820771217346,4.29721593856812,11.46937084198,16.7864398956299,19.695650100708,19.1042461395264,13.1276798248291,5.81490135192871,-2.77873039245606,-9.00026702880859,"126","2060"
14,1,14,14,-382567.350299999,2472951.1153,8.78868198394775,13.2029886245728,35.2887992858887,61.7028732299805,81.3746109008789,78.7970123291016,52,43.9141883850098,33.499885559082,27,13,12.2029886245728,"SD",-100.8719,45.1566,"DEWEY",-2.00588154792786,2.17507266998291,7.72882747650146,16.7152767181396,24.1991577148438,29.4616012573242,33.5410461425781,33.5551300048828,27.5137062072754,19.7563896179199,7.95963191986084,0.115227043628693,-11.9993410110474,-9.04336166381836,-4.32315063476562,2.77548670768738,9.8524112701416,15.2408752441406,18.3150138854981,17.9906806945801,12.0328235626221,4.80642747879028,-4.12215042114258,-9.96175003051758,"126","2060"
