"OBJECTID","Join_Count","TARGET_FID","StudyCoordinates","X","Y","prec_206","prec_207","prec_208","prec_209","prec_210","prec_211","prec_212","prec_213","prec_214","prec_215","prec_216","prec_217","STATE","LON","LAT","COUNTY","tmax_206","tmax_207","tmax_208","tmax_209","tmax_210","tmax_211","tmax_212","tmax_213","tmax_214","tmax_215","tmax_216","tmax_217","tmin_206","tmin_207","tmin_208","tmin_209","tmin_210","tmin_211","tmin_212","tmin_213","tmin_214","tmin_215","tmin_216","tmin_217","RCP","Year"
1,1,1,1,-276371.6018,2400400.4354,10.7113904953003,15,37.505054473877,71.5050506591797,77.5050506591797,73.3497924804688,65.7936630249023,49,40.505054473877,40.3497924804688,19.3497924804688,11,"SD",-99.4871,44.5474,"HYDE",-1.6866626739502,2.81333732604981,8.51685905456543,18.2035217285156,26.6116046905518,32.0767478942871,35.806713104248,35.9546661376953,30.4621295928955,22.2190990447998,9.40111351013184,1.24218797683716,-12.4566974639893,-9.0831413269043,-4.2975926399231,3.29142045974731,10.9286832809448,16.3767490386963,19.3455410003662,19.2710800170898,13.6533727645874,6.19647836685181,-3.5251624584198,-9.79884719848633,"370","2080"
2,1,2,2,-141581.2908,2261399.4047,12,16,45.615592956543,71.8243179321289,89.395637512207,83.8560104370117,72,53.2199554443359,61.3956413269043,41,30.3639469146729,14.3956394195557,"SD",-97.7546,43.3348,"HUTCHINSON",0.112436980009079,4.54306125640869,10.6105871200562,19.6082401275635,27.6495761871338,33.1859931945801,35.4575042724609,34.885368347168,30.2531490325928,22.911340713501,10.4802312850952,2.63014841079712,-10.6585426330566,-7.3002405166626,-1.97076404094696,5.5,13.358925819397,18.4327583312988,21.1597194671631,20.8642177581787,15.0955009460449,7.78390216827393,-1.71737194061279,-8.08744239807129,"370","2080"
3,1,3,3,-317432.295600001,2384356.8509,10,15,37.2196502685547,59.0163421630859,71.5866241455078,75.7899322509766,58.2196502685547,43.2066879272461,35.7933120727539,32.0129661560059,15.7966918945312,12,"SD",-99.9961,44.389,"HUGHES",-0.439932525157929,3.99950838088989,9.68953895568848,18.9293766021729,27.127498626709,32.7278671264648,36.7416076660156,36.9129867553711,31.1745529174805,22.9277763366699,10.1564073562622,2.36006760597229,-11.0971403121948,-8.00240039825439,-3.21224403381348,4.14277601242065,11.8287935256958,17.2307415008545,20.3896560668945,20.2429714202881,14.3406066894531,7.05091524124146,-2.80381584167481,-8.60589027404785,"370","2080"
4,1,4,4,-584552.942199999,2533325.8555,9,10,21,47,76.8449783325195,75.1550216674805,43,29,31.2738533020019,23.3864212036133,12,11,"SD",-103.4959,45.5804,"HARDING",0.301353931427002,4.72318410873413,9.5263090133667,17.5899620056152,25.5685977935791,31.5111389160156,35.9079818725586,36.5193901062012,29.8997306823731,21.9031238555908,9.8285436630249,2.73107576370239,-10.8050994873047,-7.6984395980835,-4.19307994842529,2.80651903152466,10.1031255722046,15.5035257339478,18.3999996185303,18.0868625640869,11.9799423217773,4.78373765945435,-4.54112863540649,-9.54455471038818,"370","2080"
5,1,5,5,-143513.945699999,2299392.0878,12,16,44,76.0600357055664,85.1264343261719,82.9957275390625,66,54.9293251037598,58.9335975646973,43.0600318908691,31,12,"SD",-97.7874,43.6748,"HANSON",-0.771129250526428,3.53013801574707,9.97053909301758,19.2687740325928,27.4149284362793,32.7564353942871,35.0969619750977,34.696964263916,29.9474811553955,22.4141025543213,9.93670654296875,1.67070555686951,-11.0733547210693,-7.75671052932739,-2.26904726028442,5.29121160507202,13.2351055145264,18.3527812957764,21.0689392089844,20.8365383148193,15.1311197280884,7.5579981803894,-2.06107234954834,-8.60226058959961,"370","2080"
6,1,6,6,-238174.816199999,2399139.8219,10,15,40.7502517700195,65.1448211669922,82.1704940795898,75,61,49,44,38.9601135253906,19,11,"SD",-99.005,44.5478,"HAND",-1.645543217659,2.78610420227051,8.61812305450439,18.4590473175049,26.7635536193848,32.1437149047852,35.4870643615723,35.5881385803223,30.4646015167236,22.4540023803711,9.49044799804688,1.30456948280334,-12.1966152191162,-8.86460208892822,-4.01011896133423,3.64929413795471,11.2886648178101,16.7379589080811,19.6492938995361,19.4447860717773,13.7775621414185,6.44582414627075,-3.19126510620117,-9.52469635009766,"370","2080"
7,1,7,7,-94021.5771999992,2409983.9965,14,16.0141906738281,39.309871673584,63.3414764404297,78.3240585327148,92.9542083740234,69.9683990478516,59,54.9542083740234,46.9858093261719,25.9542064666748,13,"SD",-97.1883,44.6737,"HAMLIN",-3.16703462600708,1.13486742973328,7.49917936325073,17.5090579986572,26.6017818450928,31.402156829834,33.634838104248,33.3355674743652,28.3015556335449,20.7038650512695,8.03112888336182,-0.266313314437866,-13.2616062164307,-9.86364459991455,-4.26774454116821,3.73257327079773,11.7270202636719,16.9264030456543,19.5306568145752,19.2637062072754,13.3657531738281,5.86876678466797,-3.69831204414368,-10.3658590316772,"370","2080"
8,1,8,8,-440567.704299999,2379984.8789,9,13,36.2100868225098,52.7797775268555,81.010139465332,72.2122344970703,50.7797775268555,39,32.007984161377,29.2122364044189,15,12,"SD",-101.54,44.2944,"HAAKON",1.38892078399658,5.60558700561523,10.1130380630493,18.5133533477783,26.1743850708008,31.9687366485596,36.1579246520996,36.568733215332,30.7924861907959,22.9133529663086,10.955527305603,3.38657093048096,-10.0608234405518,-7.48916387557983,-3.46603417396545,3.46905088424683,11.1057462692261,16.5949974060059,19.6058082580566,19.7056007385254,13.7056007385254,6.21122455596924,-3.12040567398071,-8.64468002319336,"370","2080"
9,1,9,9,-257550.739399999,2248508.5355,12.4593114852905,18.2660865783691,53,79.3968200683594,97.3474655151367,89.2660903930664,73.6031799316406,52.2660865783691,66.2660903930664,39,24.8561305999756,16.0624942779541,"SD",-99.1856,43.1924,"GREGORY",2.02174782752991,6.15571355819702,11.2961759567261,19.3408393859863,27.1300888061523,32.4012298583984,35.595458984375,35.7242584228516,30.8722972869873,23.3838367462158,11.5324211120606,4.47314500808716,-9.60609531402588,-6.84282875061035,-2.49128198623657,4.72458028793335,12.2756242752075,17.429801940918,20.511869430542,20.3988380432129,14.8899650573731,7.56700325012207,-1.78110373020172,-7.49626302719116,"370","2080"
10,1,10,10,-60295.2175000012,2465099.2966,14,14.019926071167,40,66.4641571044922,72.1088790893555,82.4641571044922,73.4840774536133,59.5557708740234,50,46.3951301574707,27.9283103942871,11,"SD",-96.7677,45.172,"GRANT",-3.1239333152771,1.04317140579224,7.45273447036743,17.6621818542481,26.7988147735596,31.5869560241699,34.3162994384766,34.1227722167969,28.8048915863037,21.085054397583,8.17550945281982,-0.168989628553391,-12.8178253173828,-9.34065723419189,-3.92748594284058,3.92809796333313,11.5929927825928,16.6589088439941,19.4949722290039,19.1977005004883,13.6664934158325,6.39804077148438,-3.16467714309692,-9.76467704772949,"370","2080"
