"Features","Overall"
"Oct_Tmax",7.37371964378934
"Oct_Tmin",7.12245126241761
"Nov_Tmin",6.64158169982359
"Jul_Spi_gamma",6.24708475282984
"May_Tmin",6.20135859673737
"Aug_Tmax",6.09704065140878
"Jul_Spi_pearson",5.96150799243832
"Jul_Precip",5.58123057619581
"Nov_Tmax",5.39760374737511
"Jan_Tmin",4.96278318053066
"Acres_Harvested",4.90492659081071
"Sep_Tmin",4.88221840083574
"Aug_Spei_gamma",4.79594886411799
"Jun_Tmax",4.79293263086732
"Dec_Spi_gamma",4.65274649957934
"Acres_Planted",4.49980037843769
"Mar_Tmin",4.32343793863952
"Aug_Spei_pearson",4.30818780198044
"Dec_Spi_pearson",4.27754581669919
"Jul_Spei_gamma",4.26819922140076
"Jul_Spei_pearson",4.17375150092183
"Dec_Tmax",3.90874778420626
"Dec_Spei_pearson",3.77632182327459
"Nov_Precip",3.64670911026774
"Mar_Tmax",3.55699390416131
"Oct_Spei_pearson",3.52316599569132
"Jul_Tmax",3.43893910528524
"Oct_Spei_gamma",3.42555206881559
"Jan_Precip",3.29458264431368
"Aug_Precip",3.26602103847999
"Dec_Tmin",3.25407785229636
"Feb_Precip",3.09454728312305
"Feb_Tmax",3.07546944834472
"Apr_Precip",3.0256981915356
"Nov_Spei_pearson",3.0134812247503
"Jun_Tmin",3.01050035662728
"Nov_Spei_gamma",2.99626433800839
"Jul_Tmin",2.98422723943231
"Jun_Spei_gamma",2.96109986232629
"Aug_Tmin",2.95759363550416
"Mar_Spi_pearson",2.90209433693246
"Feb_Spei_gamma",2.85207383233663
"May_Spei_pearson",2.85098012598029
"May_Spei_gamma",2.85034994374998
"May_Precip",2.7887173532293
"Jan_Spi_gamma",2.72611209430767
"May_Spi_pearson",2.70774734108543
"May_Spi_gamma",2.7044182140664
"Sep_Spi_gamma",2.6775708682095
"Dec_Precip",2.67739164886973
"Sep_Spei_gamma",2.66801297286113
"Apr_Spei_pearson",2.66729957086619
"Oct_Spi_pearson",2.65643055544864
"Mar_Spei_gamma",2.64796191521187
"Aug_Spi_pearson",2.63949495990891
"Jun_Spei_pearson",2.63132489590362
"Oct_Precip",2.62364942897419
"Apr_Spi_pearson",2.61420642634643
"Mar_Spei_pearson",2.60257012825328
"Jun_Precip",2.58333039571905
"Sep_Spei_pearson",2.55052538009919
"Oct_Spi_gamma",2.54918012812106
