"Features","Overall"
"May_Tmax",6.56245652555645
"Sep_Spei_pearson",5.80078321052694
"Sep_Precip",5.39714216422433
"Sep_Spei_gamma",4.753810939232
"Sep_Tmax",4.70430619700325
"Aug_Spei_gamma",4.4546687454009
"Aug_Spei_pearson",4.29565361273825
"May_Precip",4.19362979908732
"May_Spei_pearson",4.10775063873162
"Mar_Spei_pearson",4.03365476055031
"Feb_Spei_pearson",3.50215645073498
"Mar_Spei_gamma",3.49220897483176
"Nov_Tmin",3.40447685700903
"Acres_Harvested",3.34737567353866
"May_Tmin",3.19902951613512
"Jun_Tmin",3.13153713861986
"May_Spei_gamma",3.12659704108915
"Aug_Tmax",3.09082028243561
"Acres_Planted",3.08233405074402
"Mar_Spi_pearson",3.0522977822306
"Sep_Spi_pearson",2.97264649082668
"Mar_Spi_gamma",2.92626960937274
"Aug_Spi_pearson",2.79418370341342
"Dec_Precip",2.78374843949514
"Jul_Tmax",2.77346067523291
"Aug_Precip",2.77119124318519
"Mar_Tmax",2.73351619058101
"Dec_Spei_pearson",2.71318512977505
"Sep_Spi_gamma",2.695226289014
"May_Spi_pearson",2.65360405613744
"Jan_Tmin",2.64241560161086
"Dec_Spei_gamma",2.61723104564819
"Dec_Tmin",2.61104239638036
"Feb_Tmax",2.54866768743887
"Apr_Tmax",2.54692292208035
"May_Spi_gamma",2.50845383536153
"Apr_Spei_pearson",2.47589243266065
"Mar_Precip",2.47252108350899
"Nov_Spi_pearson",2.44702404963131
"Feb_Spei_gamma",2.35839522076113
"Dec_Spi_gamma",2.3554362448667
"Nov_Tmax",2.3338415463392
"Dec_Tmax",2.32377547637183
"Apr_Tmin",2.31213780940242
"Apr_Spei_gamma",2.29382927525092
"Jun_Tmax",2.20789416454324
"Nov_Spei_pearson",2.20721787555359
"Aug_Spi_gamma",2.20473868851202
"Aug_Tmin",2.18445033935027
"Nov_Spei_gamma",2.16446882324105
"Feb_Spi_pearson",2.15396678325938
"Apr_Spi_pearson",2.0870789579342
"Dec_Spi_pearson",2.00826450375911
