"Features","Overall"
"Sep_Tmin",29.2007844594617
"Jul_Tmax",28.9876716172963
"Jul_Precip",19.9680419297763
"Jun_Tmin",16.9976473090217
"Mar_Tmax",16.2181618749073
"Jul_Tmin",15.9439410946534
"Feb_Precip",15.3410908591471
"Feb_Tmin",15.2459246091586
"Aug_Tmin",14.6829380114328
"Nov_Tmax",14.5188549503694
"Feb_Tmax",14.3687602818576
"May_Tmax",14.2381503839976
"Jun_Tmax",14.1003868735651
"Oct_Tmin",13.8388066408366
"Aug_Tmax",13.7577188744134
"Jan_Tmax",13.3941623678625
"Apr_Tmax",13.1457242507165
