"Features","Overall"
"Jul_Tmax",31.4792703356699
"Acres_Harvested",18.9416694977802
"Oct_Tmin",16.3570398769893
"Acres_Planted",16.0397681982705
"Aug_Tmax",13.2256826160034
"Feb_Tmin",12.8474159686377
"Sep_Tmin",12.7003886083539
"Mar_Tmin",12.6407532864421
"May_Tmin",12.6253185836689
"Jan_Tmin",12.1292403084037
"Nov_Tmin",12.112592513489
"Jul_Spei_pearson",11.8395941040571
"Jul_Spei_gamma",11.5086228105465
"Jul_Precip",10.9033550036416
"Apr_Tmax",10.8418343248619
"Feb_Precip",10.4572947395436
"Dec_Tmax",10.4166252280994
"Jul_Tmin",10.1725352803089
"Jun_Tmax",9.94563271343354
"Mar_Precip",9.85432763243391
"May_Precip",9.79929838971033
"Jan_Tmax",9.78704117401715
"Nov_Tmax",9.78041628748286
"Jun_Tmin",9.73129273123962
"Nov_Precip",9.69698637532995
"Sep_Precip",9.6915162183053
"May_Spei_pearson",9.52607072932724
