"State","Latest_Year","Latest_Average","SSP","First_Period","Second_Period","Third_Period","Percent_Change_First_Period","Percent_Change_First_to_Second_Period"
"COLORADO",2016,1207.14285714286,"126",1113.09628787879,1133.10596969697,1133.10596969697,-7.79084005737849,1.7976595588432
"COLORADO",2016,1207.14285714286,"245",1109.93243939394,1152.66098484849,1152.66098484849,-8.05293401470323,3.84965282011911
"COLORADO",2016,1207.14285714286,"370",1108.82298484849,1151.58633333333,1151.58633333333,-8.14484149184148,3.85664340198469
"COLORADO",2016,1207.14285714286,"585",1129.97251515152,1176.21034848485,1176.21034848485,-6.39280939573245,4.09194318563878
"KANSAS",2018,1930,"126",1181.10412941176,1164.68675294118,1164.68675294118,-38.8028948491314,-1.39000246140572
"KANSAS",2018,1930,"245",1175.67372745098,1156.52239803922,1156.52239803922,-39.0842628263741,-1.62896635049312
"KANSAS",2018,1930,"370",1183.01297647059,1163.16333137255,1163.16333137255,-38.7039908564462,-1.67788904203387
"KANSAS",2018,1930,"585",1182.02148431373,1152.40208039216,1152.40208039216,-38.7553635070609,-2.50582618967922
"MINNESOTA",2018,2190,"126",1498.07118541667,1497.34973333333,1497.34973333333,-31.5949230403349,-0.0481587317316099
"MINNESOTA",2018,2190,"245",1498.53683541667,1494.46783541667,1494.46783541667,-31.5736604832572,-0.271531530212189
"MINNESOTA",2018,2190,"370",1494.71178958333,1498.79063958333,1498.79063958333,-31.7483201103501,0.272885383551895
"MINNESOTA",2018,2190,"585",1494.43468958333,1495.49352916667,1495.49352916667,-31.7609730783866,0.0708521818125306
"NEBRASKA",2017,1340,"126",1079.77740801869,1072.14911804602,1072.14911804602,-19.4195964165156,-0.706468751431357
"NEBRASKA",2017,1340,"245",1072.27023106834,1073.81697638462,1073.81697638462,-19.9798335023627,0.144249581072712
"NEBRASKA",2017,1340,"370",1072.06238574689,1070.45787975236,1070.45787975236,-19.9953443472468,-0.149665356780316
"NEBRASKA",2017,1340,"585",1070.15064620112,1068.75392637668,1068.75392637668,-20.138011477528,-0.130516187548406
"NORTH DAKOTA",2022,1939.61538461538,"126",1138.46347124183,1114.69449738562,1114.69449738562,-41.3046792538418,-2.08781172664961
"NORTH DAKOTA",2022,1939.61538461538,"245",1128.8822130719,1100.30724379085,1100.30724379085,-41.79865647458,-2.5312622477493
"NORTH DAKOTA",2022,1939.61538461538,"370",1123.32295294118,1115.99280392157,1115.99280392157,-42.0852730984125,-0.652541550977439
"NORTH DAKOTA",2022,1939.61538461538,"585",1136.89267647059,1080.50172745098,1080.50172745098,-41.3856641121648,-4.96009431555754
"SOUTH DAKOTA",2018,1825.83333333333,"126",1108.20230277778,1099.84663240741,1099.84663240741,-39.3043010801765,-0.753984209329493
"SOUTH DAKOTA",2018,1825.83333333333,"245",1103.37781481481,1084.81654351852,1084.81654351852,-39.5685359298139,-1.68222263009807
"SOUTH DAKOTA",2018,1825.83333333333,"370",1100.13090277778,1076.80570925926,1076.80570925926,-39.7463677164156,-2.12021982653369
"SOUTH DAKOTA",2018,1825.83333333333,"585",1113.94333148148,1066.20697685185,1066.20697685185,-38.9898677417719,-4.28534857030321
"TEXAS",2018,1125,"126",898.292087862461,871.495869466961,871.495869466961,-20.1518144122257,-2.9830184143404
"TEXAS",2018,1125,"245",898.743378297363,873.095264633452,873.095264633452,-20.1116997069011,-2.85377497996151
"TEXAS",2018,1125,"370",957.880149995726,792.915925247682,792.915925247682,-14.8550977781577,-17.2218022002836
"TEXAS",2018,1125,"585",895.296793511765,792.387461078955,792.387461078955,-20.4180627989542,-11.4944377304371
