"state_name","county_name","Latest","Oldest"
"NORTH DAKOTA","ADAMS",2022,1976
"NORTH DAKOTA","BARNES",2022,1976
"NORTH DAKOTA","BOTTINEAU",2022,1976
"NORTH DAKOTA","BURLEIGH",2022,1976
"NORTH DAKOTA","CASS",2022,1976
"NORTH DAKOTA","CAVALIER",2022,1976
"NORTH DAKOTA","EMMONS",2022,1977
"NORTH DAKOTA","FOSTER",2022,1976
"NORTH DAKOTA","GOLDEN VALLEY",2022,1977
"NORTH DAKOTA","GRAND FORKS",2022,1976
"NORTH DAKOTA","GRANT",2022,1976
"NORTH DAKOTA","HETTINGER",2022,1976
"NORTH DAKOTA","MCINTOSH",2022,1976
"NORTH DAKOTA","MORTON",2022,1977
"NORTH DAKOTA","PEMBINA",2022,1976
"NORTH DAKOTA","PIERCE",2022,1977
"NORTH DAKOTA","RENVILLE",2022,1976
"NORTH DAKOTA","ROLETTE",2022,1976
"NORTH DAKOTA","SHERIDAN",2022,1976
"NORTH DAKOTA","SLOPE",2022,1977
"NORTH DAKOTA","STARK",2022,1977
"NORTH DAKOTA","STUTSMAN",2022,1976
"NORTH DAKOTA","TRAILL",2022,1976
"NORTH DAKOTA","WALSH",2022,1976
"NORTH DAKOTA","WILLIAMS",2022,1976
"NORTH DAKOTA","BOWMAN",2021,1977
"NORTH DAKOTA","DIVIDE",2021,1976
"NORTH DAKOTA","DUNN",2021,1976
"NORTH DAKOTA","GRIGGS",2021,1976
"NORTH DAKOTA","MERCER",2021,1976
"NORTH DAKOTA","NELSON",2021,1976
"NORTH DAKOTA","SIOUX",2021,1976
"NORTH DAKOTA","WARD",2021,1976
"NORTH DAKOTA","BENSON",2020,1976
"NORTH DAKOTA","BILLINGS",2020,1978
"NORTH DAKOTA","BURKE",2020,1976
"NORTH DAKOTA","MCLEAN",2020,1976
"NORTH DAKOTA","OLIVER",2020,1977
"NORTH DAKOTA","RICHLAND",2020,1976
"NORTH DAKOTA","STEELE",2020,1976
"NORTH DAKOTA","WELLS",2020,1976
"SOUTH DAKOTA","BENNETT",2018,1979
"SOUTH DAKOTA","BUFFALO",2018,1977
"SOUTH DAKOTA","CAMPBELL",2018,1978
"SOUTH DAKOTA","HUGHES",2018,1978
"SOUTH DAKOTA","MELLETTE",2018,1979
"SOUTH DAKOTA","OGLALA LAKOTA",2018,1977
"SOUTH DAKOTA","POTTER",2018,1978
"TEXAS","HIDALGO",2018,1983
"KANSAS","MCPHERSON",2017,1993
"MINNESOTA","KITTSON",2017,1977
"NEBRASKA","SHERIDAN",2017,1994
"NORTH DAKOTA","SARGENT",2017,1976
"SOUTH DAKOTA","DEWEY",2017,1979
"SOUTH DAKOTA","FAULK",2017,1977
"SOUTH DAKOTA","HAND",2017,1977
"SOUTH DAKOTA","TRIPP",2017,1977
"SOUTH DAKOTA","ZIEBACH",2017,1980
"TEXAS","DALLAM",2017,1977
"COLORADO","ADAMS",2016,1991
"COLORADO","BACA",2016,1997
"COLORADO","KIOWA",2016,1992
"COLORADO","LINCOLN",2016,1991
"COLORADO","WASHINGTON",2016,1991
"MINNESOTA","NORMAN",2016,1977
"MINNESOTA","OTTER TAIL",2016,1977
